id,english,tamil_reference,domain,topic,generated_tamil
37,"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.","சூரியன், மற்ற நட்சத்திரங்களைப் போலவே அடிப்படைக் கொள்கைகளில் இயங்குவதை அவர்கள் கண்டறிந்தார்கள்: அமைப்பில் இருக்கும் அனைத்து நட்சத்திரங்களின் செயல்பாடும், அவற்றின் ஒளிர்வு மற்றும் சுழற்சியினால் இயக்கப்படுகிறது என்பதையும், வேறு எதனாலும் இல்லை என்பதையும் கண்டறிந்துள்ளனர்.",wikinews,sciece,"சூரியன் மற்ற நட்சத்திரங்களைப் போலவே அதே அடிப்படைக் கொள்கைகளின் அடிப்படையில் செயல்படுவதை அவர்கள் கண்டறிந்தனர்ஃ இந்த அமைப்பில் உள்ள அனைத்து நட்சத்திரங்களின் செயல்பாடும் அவற்றின் ஒளிரும் தன்மை, அவற்றின் சுழற்சி மற்றும் வேறு எதனாலும் இயக்கப்படுவதாகக் கண்டறியப்பட்டது."
38,"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.","ஒரு நட்சத்திரத்தின் ராஸ்பி எண்ணைத் தீர்மானிக்க ஒளிர்வு மற்றும் சுழற்சி இரண்டும் ஒரே சமயத்தில் பயன்படுத்தப்படுகின்றன, இது பிளாஸ்மா ஓட்டத்துடன் தொடர்புடையது.",wikinews,sciece,"ஒளிரும் தன்மையும் சுழற்சியும் இணைந்து ஒரு நட்சத்திரத்தின் ரோஸ்பி எண்ணை தீர்மானிக்கப் பயன்படுத்தப்படுகின்றன, இது பிளாஸ்மா ஓட்டத்துடன் தொடர்புடையது."
39,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.","ரோஸ்பி எண் குறைவாக உள்ள நட்சத்திரம், காந்தப்புற மாற்ற தொடர்புகளுடன் மிகவும் குறைந்த செயல்பாடு கொண்டதாகவே இருக்கும்.",wikinews,sciece,"ராஸ்பி எண் எவ்வளவு சிறியதாக இருக்கிறதோ, காந்தப் பின்னடைவுகளைப் பொறுத்தவரை நட்சத்திரம் குறைவான செயலில் உள்ளது."
40,"During his trip, Iwasaki ran into trouble on many occasions.","தனது பயணத்தின்போது, ​​இவாசாகி பல சந்தர்ப்பங்களில் பிரச்சனையில் சிக்கினார்.",wikinews,travel,"தனது பயணத்தின் போது, இவாசாகி பல சந்தர்ப்பங்களில் சிக்கலில் சிக்கினார்."
41,"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.","அவர் கடற்கொள்ளையர்களால் கொள்ளையடிக்கப்பட்டார், திபெத்தில் ராபிஸ் பாதித்த வெறித்தனமான நாயால் தாக்கப்பட்டார், நேபாளத்தில் திருமணத்திலிருந்து தப்பினார், இந்தியாவில் கைது செய்யப்பட்டார்.",wikinews,travel,"அவர் கடற்கொள்ளையர்களால் கொள்ளையடிக்கப்பட்டு, திபெத்தில் ஒரு வெறித்தனமான நாயால் தாக்கப்பட்டார், நேபாளத்தில் திருமணத்திலிருந்து தப்பித்து இந்தியாவில் கைது செய்யப்பட்டார்."
42,The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,802.11n தரம் 2.4Ghz மற்றும் 5.0Ghz அலைவரிசை ஆகிய இரண்டிலும் செயல்படும்.,wikinews,sciece,802.11n தரநிலை 2.4Ghz மற்றும் 5.0Ghz அதிர்வெண்கள் இரண்டிலும் செயல்படுகிறது.
43,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.","அடிப்படையான தளத்தில் இரண்டு ரேடியோக்கள் வழங்கப்பட்டால், இது 802.11a, 802.11b மற்றும் 802.11g உடன் பின்னோக்கிய நிலையில் இணக்கமாக இருக்க அனுமதிக்கும்.",wikinews,sciece,"இது அடிப்படை நிலையத்திற்கு இரட்டை ரேடியோக்கள் இருந்தால், 802.11a, 802.11b மற்றும் 802.11g உடன் பின்னோக்கி இணக்கமாக இருக்க அனுமதிக்கும்."
44,The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,802.11n இன் வேகம் அதற்கு முந்தையவைகளை விட அதிகபட்சம் தியரடிகல் த்ரூபுட் 600Mbit/s உடன் மிகுந்த வேகம் கொண்டது.,wikinews,sciece,"802.11n இன் வேகம் அதன் முன்னோடிகளை விட கணிசமாக வேகமாக உள்ளது, அதிகபட்ச கோட்பாட்டு செயல்திறன் 600Mbit/s ஆகும்."
45,"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.","இரண்டு வயதுவந்த குழந்தைகளுடன் திருமணம் செய்து கொண்ட டுவல்லால், இக்கதை விவரிக்கப்பட்ட மில்லரின் மனதில் ஒரு பெரிய அபிப்ராயத்தை ஏற்படுத்த முடியவில்லை.",wikinews,Politics and conflicts,"திருமணமான இரண்டு வயது வந்த குழந்தைகளுடன் இருக்கும் துவால், கதை தொடர்புடைய மில்லர் மீது பெரிய தாக்கத்தை ஏற்படுத்தவில்லை."
46,"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""","""கருத்து கேட்டபோது, """"விசாரணையின் போது மைக் அதிகளவு பேசுகிறார்.. நான் விசாரணைக்காக தயாராகி கொண்டிருந்ததால் அவர் கூறியதை நான் கேட்கவில்லை"""", என்று மில்லர் கூறினார். """,wikinews,Politics and conflicts,"கருத்தைக் கேட்டபோது, மில்லர் கூறினார், ""விசாரணையின் போது மைக் நிறைய பேசுகிறார்... நான் தயாராகிக் கொண்டிருந்தேன், எனவே அவர் என்ன சொல்கிறார் என்பதை நான் உண்மையில் கேட்கவில்லை""."
47,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.","""""""நாங்கள் கார்பன் டை ஆக்சைடு வெளியேற்றத்தை 2005 ஆம் ஆண்டிலிருந்து 2020 க்குள் குறிப்பிடத்தக்க ஜி. டி. பி இன் ஒரு யூனிட்டிருக்கு குறைக்க முயல்கிறோம்"""" என ஹு தெரிவித்தார்.""",wikinews,environment,"""மொத்த உள்நாட்டு உற்பத்தியில் ஒரு யூனிட்டுக்கு கார்பன் டை ஆக்சைடு உமிழ்வை 2005 ஆம் ஆண்டின் மட்டத்திலிருந்து 2020 ஆம் ஆண்டுக்குள் குறிப்பிடத்தக்க அளவில் குறைக்க முயற்சிப்போம்"" என்று ஹு கூறினார்."
48,"He did not set a figure for the cuts, saying they will be made based on China's economic output.","குறைப்புகளுக்கு ஒரு புள்ளிவிவரத்தை அவர் அமைக்கவில்லை, அவை சீனாவின் பொருளாதார உற்பத்தியின் அடிப்படையில் செய்யப்படும் என்று அவர் கூறினார்.",wikinews,environment,சீனாவின் பொருளாதார உற்பத்தியின் அடிப்படையில் வெட்டுக்கள் செய்யப்படும் என்று அவர் ஒரு எண்ணிக்கையை அமைக்கவில்லை.
49,"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""","""வளரும் நாடுகளை """"முதலில் மாசுபடுத்திவிட்டு பின்னர் சுத்தம் செய்வது என்ற பழைய பழக்கத்தை தவிர்க்க"""" ஹூ ஊக்குவித்தார். """,wikinews,environment,"வளரும் நாடுகளை ""மாசுபடுத்தும் பழைய பாதையை முதலில் தவிர்க்கவும், பின்னர் சுத்தம் செய்யவும்"" ஹூ ஊக்குவித்தார்."
50,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""","’அவர்களது வளர்ச்சி நிலை, பொறுப்பு மற்றும் திறன்களை மீறிய கடமைகளை ஏற்றுக்கொள்ளுமாறு அவர்களை நீங்கள் கேட்க கூடாது’ என்று அவர் மேலும் கூறினார்.",wikinews,environment,"எவ்வாறாயினும், அவர்களின் வளர்ச்சி நிலை, பொறுப்பு மற்றும் திறன்களுக்கு அப்பாற்பட்ட கடமைகளை ஏற்றுக்கொள்வதற்கு அவர்களைக் கேட்கக்கூடாது என்றும் அவர் கூறினார்."
51,The Iraq Study Group presented its report at 12.00 GMT today.,"ஈராக் ஆய்வுக் குழு, தனது அறிக்கையை இன்று 12.00 GMT-க்கு வழங்கியது.",wikinews,Politics,ஈராக் ஆய்வுக் குழு தனது அறிக்கையை இன்று 12.00 GMT இல் சமர்ப்பித்தது.
52,"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.","அது, இந்த சமயத்தில், இரானில் எடுக்கப்படும் எவ்வித நடவடிக்கையாலும் பிரிவினைப் போர், வளரும் வன்முறை அல்லது குழப்பத்தின் தோற்றம் ஆகியவற்றை நிறுத்த இயலும் என்பதற்கான உத்தரவாதம் எவராலும் அளிக்க இயலாது என்று எச்சரிக்கிறது.",wikinews,Politics,"இந்த கட்டத்தில் ஈராக்கில் எந்தவொரு நடவடிக்கையும் குறுங்குழுவாத போர், வளர்ந்து வரும் வன்முறை அல்லது குழப்பத்தை நோக்கிய சரிவை நிறுத்தும் என்று யாரும் உத்தரவாதம் அளிக்க முடியாது என்று அது எச்சரிக்கிறது."
53,The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.,"இந்த அறிக்கை திறந்த விவாதத்திற்கான வேண்டுகோளுடனும், மத்திய கிழக்கிற்கான கொள்கை குறித்து அமெரிக்காவில் ஒருமித்த கருத்தை உருவாக்குகிறது.",wikinews,Politics,மத்திய கிழக்கை நோக்கிய கொள்கை குறித்து அமெரிக்காவில் வெளிப்படையான விவாதம் மற்றும் ஒருமித்த கருத்தை உருவாக்குவதற்கான வேண்டுகோளுடன் இந்த அறிக்கை தொடங்குகிறது.
54,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,"ஈராக்கை நோக்கிய நிர்வாகத்தின் தற்போதைய கொள்கையின் ஒவ்வொரு அம்சத்தையும் இந்த அறிக்கை மிகவும் விமர்சிக்கிறது, மேலும் இது உடனடியாக திசையை மாற்ற வலியுறுத்துகிறது.",wikinews,Politics,"ஈராக்கை நோக்கிய நிர்வாகத்தின் தற்போதைய கொள்கையின் கிட்டத்தட்ட ஒவ்வொரு அம்சத்தையும் இந்த அறிக்கை மிகவும் விமர்சிக்கிறது, மேலும் இது உடனடியாக திசையை மாற்ற வலியுறுத்துகிறது."
55,First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,இந்த வருட முடிவிற்குள் இரானின் எல்லையை எதிரிகளின் தலையீட்டிலிருந்து பாதுகாப்பது மற்றும் அதன் அண்டை நாடுகளுடன் உடன்பாடுடைய உறவை மீண்டும் நிலை நாட்டுவது ஆகியவை அதன் 78 பரிந்துரைகளில் முதன்மையானவைகளாகும்.,wikinews,Politics,"அதன் 78 பரிந்துரைகளில் முதன்மையானது, ஈராக்கின் எல்லைகளை விரோதமான தலையீடுகளுக்கு எதிராகப் பாதுகாக்கவும், அதன் அண்டை நாடுகளுடன் இராஜதந்திர உறவுகளை மீண்டும் நிறுவவும் இந்த ஆண்டு இறுதிக்குள் ஒரு புதிய இராஜதந்திர முன்முயற்சி எடுக்கப்பட வேண்டும்."
56,"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.","தற்போதைய சட்ட மன்ற மேலவை உறுப்பினர் மற்றும் அர்ஜெண்டினா ஜனாதிபதியின் மனைவியான கிரிஸ்டினா ஃபெர்னாண்டெஸ் டீ கிர்ச்னெர் தன் ஜனாதிபதி பதவியிற்கான வேட்பாளர் நிலையை நேற்று மாலை, ப்யூனஸ் அயர்ஸிலிருந்து 50 கிலோமீட்டர் (31 மைல்கள்) தொலைவிலுள்ள லா ப்ளாடா என்ற நகரத்தில் அறிவித்தார்.",wikinews,Politics,தற்போதைய செனட்டரும் அர்ஜென்டினாவின் முதல் பெண்மணியுமான கிறிஸ்டினா பெர்னாண்டஸ் டி கிர்ச்னர் நேற்று மாலை பியூனஸ் அயர்ஸிலிருந்து 50 கிலோமீட்டர் (31 மைல்) தொலைவில் உள்ள லா பிளாட்டாவில் தனது ஜனாதிபதி வேட்பாளரை அறிவித்தார்.
57,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.",திருமதி. கிர்ச்னர் ஜனாதிபதி பதவிற்கு போட்டியிடும் தன் எண்ணத்தை 2005ஆம் ஆண்டு அவர் ப்யூனஸ் அயர்ஸ் மாகாண தலைமை குழு உறுப்பினர் பதவிக்கு போட்டியிடும் பொழுது பிரச்சாரத்தை துவக்கிய அதே இடமான அர்ஜெண்டினா தியேட்டரில் அறிவித்தார்.,wikinews,Politics,"திருமதி கிர்ச்னர் அர்ஜென்டினா தியேட்டரில் ஜனாதிபதி பதவிக்கு போட்டியிடுவதற்கான தனது விருப்பத்தை அறிவித்தார், அதே இடத்தில் அவர் 2005 ஆம் ஆண்டு செனட்டிற்கான பிரச்சாரத்தை பியூனஸ் அயர்ஸ் மாகாண தூதுக்குழுவின் உறுப்பினராகத் தொடங்கினார்."
58,"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""","""அந்த விவாதம் கேட்ரினா புயலைத் தொடந்த நிவாரணம் மற்றும் சீரமைப்பிற்கான செலவு குறித்த கருத்து வேறுபாட்டினால் ஏற்பட்டது; அதை சில நிதிப் பழமைவாதிகள் நகைச்சுவையாக """"புஷ்ஷின் புதிய ஆர்லியன் ஒப்பந்தம்"""" என முத்திரையிட்டனர். """,wikinews,Politics,"கத்ரீனா சூறாவளியை அடுத்து நிவாரணம் மற்றும் புனரமைப்புக்கான செலவு குறித்த சர்ச்சையால் இந்த விவாதம் தூண்டப்பட்டது; சில நிதி பழமைவாதிகள் நகைச்சுவையாக ""புஷ்ஷின் நியூ ஆர்லியன்ஸ் ஒப்பந்தம்"" என்று பெயரிட்டுள்ளனர்."
59,Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.,"புனரமைப்பு முயற்சியின் தாராளவாத விமர்சனம், வாஷிங்டன் மக்களுக்குப் புணரமைப்பு ஒப்பந்தங்களை வழங்குவதில் கவனம் செலுத்தியுள்ளது.",wikinews,Politics,மறுசீரமைப்பு முயற்சியின் தாராளவாத விமர்சனம் வாஷிங்டனுக்குள் உள்ளவர்களுக்கு மறுசீரமைப்பு ஒப்பந்தங்களை வழங்குவதில் கவனம் செலுத்தியுள்ளது.
60,Over four million people went to Rome to attend the funeral.,இறுதிச்சடங்கில் கலந்துகொள்வதற்கு நான்கு மில்லியனுக்கும் அதிகமான மக்கள் ரோம் சென்றனர்.,wikinews,Religion,இறுதிச் சடங்கில் கலந்து கொள்வதற்காக நான்கு மில்லியனுக்கும் அதிகமான மக்கள் ரோம் சென்றனர்.
61,The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,"வருகை தந்திருந்த மக்களின் எண்ணிக்கை மிகவும் அதிகமாக இருந்த காரணத்தால், செயிண்ட். பீட்டர் ஸ்க்வயரில் அனைவருக்கும் இடம் கிடைப்பது சாத்தியமற்றதாக இருந்தது.",wikinews,Religion,"அங்கு கூடியிருந்த மக்களின் எண்ணிக்கை மிகவும் அதிகமாக இருந்ததால், செயின்ட் பீட்டர்ஸ் சதுக்கத்தில் உள்ள இறுதிச் சடங்கிற்கு அனைவரும் செல்ல முடியவில்லை."
62,Several large television screens were installed in various places in Rome to let the people watch the ceremony.,"ரோம் நகரில் பல இடங்களில் ஏராளமான பெரிய தொலைக்காட்சித் திரைகள் அமைக்கப்பட்டு, மக்கள் இந்த விழாவைக் காண முடிந்தது.",wikinews,Religion,இந்த விழாவை மக்கள் பார்க்க ரோமின் பல்வேறு இடங்களில் பல பெரிய தொலைக்காட்சி திரைகள் நிறுவப்பட்டன.
63,"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.","இத்தாலியின் பல நகரங்களில் மற்றும் உலகெங்கும் குறிப்பாக போலந்தில், இதே போன்ற அமைப்புகள் ஏற்படுத்தப்பட்டன, மற்றும் அவை அதிக மக்களால் பார்க்கப்பட்டன.",wikinews,Religion,"இத்தாலியின் பிற நகரங்களிலும், உலகின் பிற பகுதிகளிலும், குறிப்பாக போலந்திலும், இதே போன்ற அமைப்புகள் உருவாக்கப்பட்டன, அவை ஏராளமான மக்களால் பார்க்கப்பட்டன."
64,"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.","சரித்திர வல்லுனர்கள், முகவாண்மையின் வெற்றி விகிதத்தை உயர்த்தும் நோக்குடன் குறிப்பாக கார் திருட்டு போன்ற சுலபமாக தீர்க்கப்படக் கூடிய வழக்குகளில் வளங்களைத் திருப்பும் எஃப்பிஐயின் கடந்த காலக் கொள்கையை கடுமையாக விமரிசிக்கின்றனர்.",wikinews,Crime and Law,"எஃப். பி. ஐயின் கடந்தகால கொள்கைகள், தீர்க்க எளிதான வழக்குகளில், குறிப்பாக திருடப்பட்ட கார் வழக்குகளில், ஏஜென்சியின் வெற்றி விகிதத்தை அதிகரிக்கும் நோக்கத்துடன் வளங்களை மையமாகக் கொண்டுள்ளன என்று வரலாற்றாசிரியர்கள் விமர்சித்துள்ளனர்."
65,Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,"2005 ஆம் நிதியாண்டில் ஆபாசத்தை தடுக்கும் முயற்சிக்கு நிதியளிக்கத் தொடங்கிய காங்கிரஸ், வயது வந்தோருக்கான ஆபாசப் படங்களுக்கு FBI 10 முகவர்களை ஒதுக்க வேண்டும் என்று குறிப்பிட்டது.",wikinews,Crime and Law,"காங்கிரஸ் 2005 நிதியாண்டில் இந்த பாலியல் முறைகேடு முயற்சிக்கு நிதியளிக்கத் தொடங்கியது, மேலும் எஃப். பி. ஐ 10 முகவர்களை வயது வந்தோர் பாலியல் முறைகேடுகளுக்கு ஒதுக்க வேண்டும் என்று குறிப்பிட்டது."
66,"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.","ராபின் உத்தப்பா, அந்த இன்னிங்ஸின் அதிகபட்ச ஸ்கோரான, வெறும் 41 பந்துகளில் 70 ரன்களை எடுத்து, 11 பவுண்டரிகள் மற்றும் 2 சிக்சர்களை அடித்தார்.",wikinews,Sports,ராபின் உத்தப்பா 41 பந்துகளில் 11 பவுண்டரிகள் மற்றும் 2 சிக்ஸர்களுடன் 70 ரன்கள் எடுத்து இன்னிங்ஸின் அதிகபட்ச ஸ்கோரை அடித்தார்.
67,"Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.","மிடில் ஆர்டர் பேட்ஸ்மேன்களான சச்சின் டெண்டுல்கர், ராகுல் டிராவிட் ஆகியோர் சிறப்பாக செயல்பட்டு கூட்டாக நூறு ரன்கள் எடுத்தனர்.",wikinews,Sports,சச்சின் டெண்டுல்கர் மற்றும் ராகுல் டிராவிட் ஆகியோர் சிறப்பாக விளையாடி நூறு ஓட்டங்கள் கூட்டணியை உருவாக்கினர்.
68,"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",இந்திய அணியானது கேப்டனின் விக்கெட்டை இழந்த பிறகு 36 ரன்கள் மட்டுமே எடுத்து 7 விக்கெட் இழப்பிற்கு இன்னிங்கை நிறைவு செய்தது.,wikinews,Sports,"ஆனால், கேப்டனின் விக்கெட்டை இழந்த பிறகு இந்தியா 7 விக்கெட்டுகளை இழந்து 36 ரன்கள் மட்டுமே எடுத்து இன்னிங்ஸை முடித்தது."
69,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.","யு. எஸ். ஜனாதிபதி ஜார்ஜ். டபிள்யூ. புஷ் ஆசியாவில் ஒரு வார கால சுற்றுலாவைத் துவக்கும் வகையில், நவம்பர் 16ஆம் தேதி காலை சிங்கப்பூர் வந்தடைந்தார்.",wikinews,Politics,"அமெரிக்க ஜனாதிபதி ஜார்ஜ் டபுள்யூ புஷ் நவம்பர் 16 ஆம் தேதி காலை சிங்கப்பூருக்கு வந்தார், ஒரு வார கால ஆசியா சுற்றுப்பயணத்தைத் தொடங்கினார்."
70,He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.,"அவரை சிங்கப்பூர் துணைப் பிரதமர் வோங் கான் செங் வரவேற்றார், மேலும், வர்த்தக மற்றும் பயங்கரவாத பிரச்சினைகள் குறித்து சிங்கப்பூர் பிரதமர் லீ ஹ்சியன் லூங்குடன் உரையாடல் நிகழ்த்தினார்.",wikinews,Politics,"அவரை சிங்கப்பூரின் துணைப் பிரதமர் வோங் கான் செங் வரவேற்றார், மேலும் சிங்கப்பூர் பிரதமர் லீ சியான் லூங்குடன் வர்த்தகம் மற்றும் பயங்கரவாத பிரச்சினைகள் குறித்து விவாதித்தார்."
71,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","இடைதேர்தலில் தோல்வியடைந்த ஒரு வாரத்திற்குப் பின்னர், புஷ் ஒரு பார்வையாளர்களிடம் ஆசியாவில் வர்த்தக விரிவாக்கம் பற்றி கூறினார்.",wikinews,Politics,"இடைக்காலத் தேர்தலில் ஒரு வார இழப்புக்குப் பிறகு, ஆசியாவில் வர்த்தகம் விரிவடைவது குறித்து பார்வையாளர்களிடம் புஷ் கூறினார்."
72,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.","முதலமைச்சர் ஸ்டீஃபன் ஹார்பெர், செவ்வாய்க் கிழமையன்று எண்டிபியின் தலைவர் ஜேக் லேடனுடன் பிஎம்ஓவில் நடந்த 25 நிமிட கூட்டத்திற்குப் பிறகு அரசின் 'க்ளீன் ஏர் ஆக்ட்/சுத்தமான காற்றுக் கொள்கை'  இரண்டாம் முறை படிக்கப்படும் முன்னர் மறுபரிசீலனை செய்யப்பட அனைத்துக் கட்சிக் குழுவின் பார்வைக்கு அனுப்ப ஒப்புக்கொண்டார்.",wikinews,Politics,"பிரதம மந்திரி ஸ்டீபன் ஹார்பர், அரசாங்கத்தின்'தூய்மையான காற்றுச் சட்டத்தை'மறுஆய்வுக்காக அனைத்துக் கட்சிக் குழுவுக்கு அனுப்ப ஒப்புக் கொண்டார், அதன் இரண்டாவது வாசிப்புக்கு முன், பிரதமர் அலுவலகத்தில் என்டிபி தலைவர் ஜாக் லேட்டனுடன் செவ்வாய்க்கிழமை 25 நிமிட சந்திப்புக்குப் பிறகு."
73,"Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill.","""PM உடனான சந்திப்பின் போது கன்சர்வேடிவ்களின் சுற்றுச்சூழல் மசோதாவில் மாற்றங்களை லேட்டன் கேட்டுக் கொண்டார், கன்சர்வேடிவ் கட்சியின் சுற்றுச்சூழல் மசோதாவை """"தெளிவாகவும் மற்றும் முழுமையாகவும் மாற்றியமைக்க"""" கேட்டுக் கொண்டார். """,wikinews,Politics,"பிரதமருடனான சந்திப்பின் போது பழமைவாதிகளின் சுற்றுச்சூழல் மசோதாவில் மாற்றங்களைக் கோரிய லேட்டன், கன்சர்வேடிவ் கட்சியின் சுற்றுச்சூழல் மசோதாவை ""முழுமையான மற்றும் முழுமையான மறு எழுத்து"" செய்யக் கோரியிருந்தார்."
74,"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.","தாஸ்மானியாவில் உள்ள டேவோன்போர்ட் மருத்துவமனைக்கு அதிக நிதி அளிக்க மத்திய அரசாங்கம் முடிவெடுத்ததிலிருந்து, மாநில அரசாங்கமும் சில மத்திய எம்பிக்களும் இந்த நடவடிக்கை வரப்போகும் நவம்பர் மாத கூட்டாட்சி தேரல்தலுக்கான முன்னோட்ட நடவடிக்கை என விமர்சிக்கின்றனர்.",wikinews,Politics,"டாஸ்மேனியாவின் டெவோன்போர்ட்டில் உள்ள மெர்சி மருத்துவமனையின் நிதியை மத்திய அரசு எடுத்துக் கொண்டதிலிருந்து, மாநில அரசும் சில மத்திய நாடாளுமன்ற உறுப்பினர்களும் இந்த செயலை நவம்பர் மாதத்திற்குள் வரவிருக்கும் கூட்டாட்சி தேர்தலுக்கு முன்னோடியாக ஒரு ஸ்டண்ட் என்று விமர்சித்துள்ளனர்."
75,"But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.","ஆனால், அமைச்சர் ஜான் ஹோவார்ட் 45 மில்லியன் ஆஸ்திரேலியன் டாலர் வழங்கும் இந்த நடவடிக்கை டாஸ்மானியாவின் அரசால் மருத்துவமனையின் வசதிகள் குறைக்கப்படுவதிலிருந்து பாதுகாக்க எடுக்கப்பட்டது என கூறினார்.",wikinews,Politics,"ஆனால் பிரதம மந்திரி ஜான் ஹோவர்ட், மருத்துவமனையின் வசதிகளை டாஸ்மேனிய அரசாங்கத்தால் தரமிறக்கப்படுவதிலிருந்து பாதுகாப்பதற்காக மட்டுமே இந்தச் சட்டம் என்று கூறியுள்ளார், கூடுதலாக AUD $45 மில்லியன் வழங்கியது."
76,"According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue.","சமீபத்திய செய்தி அறிவிப்பின்படி, கடல்மட்ட அளவீடுகள் சுனாமி உருவானதை சுட்டிக்காட்டின. பேகோ பேகோ மற்றும் நியூ அருகில் கண்டிப்பாக சுனாமி நடவடிக்கை பதிவு செய்யப்பட்டது.",wikinews,Disasters and accidents,"சமீபத்திய செய்திக்குறிப்பின் படி, கடல் மட்ட அளவீடுகள் சுனாமி உருவானதைக் குறிக்கின்றன. பாகோ பாகோ மற்றும் நியுவே அருகே சில திட்டவட்டமான சுனாமி நடவடிக்கைகள் பதிவு செய்யப்பட்டுள்ளன."
77,"No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC.","டோங்காவில் மிக அதிகமான பாதிப்பு அல்லது காயமடைதல் ஏற்படவில்லை என தெரிவிக்கப்பட்டாலும், மின்சாரம் பாதிக்கப்பட்டதால், டோங்கன் அதிகாரிகளுக்கு பிடிடபிள்யூசியினால் வழங்கப்பட்ட சுனாமி எச்சரிக்கை சென்றடைவதில் தடை ஏற்பட்டது.",wikinews,Disasters and accidents,"டோங்காவில் பெரிய சேதம் அல்லது காயங்கள் எதுவும் ஏற்படவில்லை, ஆனால் மின்சாரம் தற்காலிகமாக இழக்கப்பட்டது, இது டோங்கன் அதிகாரிகளுக்கு பிடிடபிள்யூசி வழங்கிய சுனாமி எச்சரிக்கையைப் பெறுவதைத் தடுத்ததாக கூறப்படுகிறது."
78,Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted.,கடற்கரையில் அல்லது அதற்கு அருகாமையில் அமைந்துள்ள ஹவாயிலுள்ள பதினான்கு பள்ளிகள் எச்சரிக்கை விலக்கப்பட்ட பின்னரும் புதன் கிழமை முழுவதும் மூடப்பட்டிருந்தன.,wikinews,Disasters and accidents,"எச்சரிக்கைகள் நீக்கப்பட்ட போதிலும், ஹவாய் கடற்கரையோரம் அல்லது அதற்கு அருகில் அமைந்துள்ள பதினான்கு பள்ளிகள் புதன்கிழமை முழுவதும் மூடப்பட்டன."
